work,paragraph_count,character_count,average_paragraph_length
朝花夕拾,1402,42899,30.598430813124107
而已集,931,98126,105.3984962406015
野草,887,23283,26.249154453213077
华盖集,1274,101250,79.47409733124019
彷徨,2816,82547,29.31356534090909
热风,1756,58748,33.45558086560364
坟,2831,98623,34.83680678205581
故事新编,2855,83126,29.115936952714534
呐喊,2883,83519,28.96947624002775
三闲集,845,94627,111.98461538461538
二心集,1049,126301,120.40133460438513
华盖集续编的续编,196,19284,98.38775510204081
华盖集续编,1102,106327,96.48548094373865
